company_name,company_raw,is_staffing,company_id
Welch Packaging Group,Welch Packaging Group Inc.,False,60
Uniplus Consultants,Uniplus Consultants Inc,False,61
Veterans United Home Loans,Veterans United Home Loans,False,62
MultiPlan,MultiPlan,False,63
Roush,Roush,False,64
Kate Spade,KATE SPADE,False,65
Sequel Response,Sequel Response LLC,False,66
Billerud,Billerud,False,67
Inspiration Global,Inspiration Global,False,68
Popular Community Bank,Popular Community Bank,False,69
Element Squared,Element Squared LLC,False,70
Stax,Stax Inc,False,71
Unclassified,"Easternshipbuilding group, inc",False,72
Isi Professional Services,ISI Professional Services,False,73
Unclassified,Ava Community Energy,False,74
Penn Entertainment,"PENN Entertainment, Inc.",False,75
Insightin | Health,Insightin Health,False,76
Precision System Design,Precision System Design Inc.,True,77
"Tingue, Brown & Company","Tingue, Brown and Company",False,78
The Esab Group,The ESAB Group Inc.,False,79
Lifescale Analytics,Lifescale Analytics,False,80
Jabil,Jabil Circuit,False,81
Hims & Hers,hims & hers,False,82
Southwire,Southwire,False,83
Kamu Ultra Karaoke,Kamu Ultra Karaoke,False,84
Boston Children's Hospital,Boston Children's Hospital,False,85
Vistage Worldwide,"Vistage Worldwide, Inc.",False,86
Altamed Health Services,AltaMed Health Services Corp,False,87
CRH Americas,"Oldcastle BuildingEnvelope, Inc.",False,88
Infosys,Infosys,False,89
BCforward,BC Forward,True,90
The Boston Consulting Group (BCG),Boston Consulting Group,False,91
Federal Reserve Bank,Federal Reserve Bank (FRB),False,92
Walmart,Walmart Inc.,False,93
Pnm,PNM,False,94
Chugach Alaska Corporation,Chugach Government Solutions,False,95
Ochsner Health,Ochsner Health System,False,96
Clinical Ink,"Clinical Ink, Inc.",False,97
Talascend,Talascend Llc,True,98
Introlligent,Introlligent Inc.,False,99
Unclassified,Sanofi EU,False,100
Stephen Gould Corporation,Stephen Gould Corporation,False,101
University of Washington,University of Washington,False,102
Nava-Tech,NAVA TECH LLC,False,103
Parent Child Development Center,Parent Child Development Center,False,104
West Bend Mutual Insurance,West Bend Insurance Company,False,105
Huron Consulting Group,Huron Consulting Group Inc.,False,106
Veo Agency,Veo,False,107
Quidel Corporation,Quidel Corporation,False,108
Primera Engineers,"Primera Engineers, Ltd",False,109
Selective Insurance,Selective Insurance,False,110
Saatchi & Saatchi,Saatchi & Saatchi,False,111
Lenovo,Lenovo,False,112
Unclassified,AJS Globaltech Inc,False,113
Onemagnify,"Marketing Associates, LLC dba OneMagnify",False,114
University of Mississippi Medical Center,University of Mississippi,False,115
Unclassified,Timberroot Rustic Resorts at Wauhatchie Woodlands,False,116
Activesoft,"ActiveSoft, Inc",False,117
InSource,"InSource, Inc.",True,118
Kimco Realty Corporation,Kimco Realty,False,119
Digitas,Digitas,False,120
Jt Logistics,JT Logistics,False,121
Phaxis ,PHAXIS,True,122
Unclassified,Corporate Office,False,123
A16z Andre,a16z,False,124
Sony Pictures Entertainment,Sony Pictures,False,125
Unclassified,Providence Swedish Medical Center,False,126
Boeing,Boeing,False,127
Commonwealth Of Virginia,Virginia Department of Transportation,False,128
And Collaborative,"Collaborative, LLC",False,129
St. Elizabeth Healthcare,St. Elizabeth Healthcare,False,130
Best Western Hotels & Resorts,SureStay Plus by Best Western,False,131
Vigor Industrial,Vigor Industrial,False,132
Inspire Brands,"Inspire Brands, Inc.",False,133
Enterprise Solution,Enterprise Solution Inc.,False,134
Church At The Park,Church at the Park,False,135
King's Hawaiian,King's Hawaiian,False,136
Institutional Shareholder Services,Institutional Shareholder Services Inc.,False,137
Winning Edge Solutions,"Winning Edge Solutions, LLC",True,138
Aspire Systems,"Aspire Systems, Inc.",False,139
Tessenderlo Kerley,"Tessenderlo Kerley, Inc.",False,140
County of San Bernardino,County of San Bernardino,False,141
Unclassified,The Global Excellence Consulting Group,False,142
Unclassified,Valtronic Technology Inc,False,143
Kishwaukee College,Kishwaukee College,False,144
Lcs,LCS,False,145
Unclassified,"Jenkins Living Center Watertown, SD",False,146
Genuine Foods,Genuine Foods,False,147
Wittenberg-Weiner Consulting,Wittenberg Weiner Consulting LLC,False,148
Simplisafe,SimpliSafe,False,149
Accord Technologies,Accord Technologies inc,False,150
Glacier Bank,Glacier Bancorp,False,151
Expression,Expression,False,152
MSC Industrial Direct,MSC Industrial Supply Co.,False,153
Withum And Company,Withum,False,154
Ecolab,ECOLAB,False,155
Anglicotech,Anglicotech LLC,False,156
Unclassified,Cotton \u0026 Company LLP,False,157
Blue Ocean Ventures,Blue Ocean Ventures,True,158
Evona,EVONA,False,159
Swatch Group,Swatch Group,False,160
Riverside Family Physicians A Pro Med Co,"Riverside Family Physicians, A Pro",False,161
Edgecombe Community College,Edgecombe Community College,False,162
W.L. Gore & Associates,"W.L. Gore & Associates, Inc.",False,163
Erichards Consulting,eRichards Consulting,False,164
Unclassified,GIS Jobs Clearinghouse,False,165
Primed Management Consulting Services,"PriMed Management Consulting Services, Inc.",False,166
Unclassified,Compass SLS & ILS,False,167
Ag Consulting Partners,"AG Consulting Partners, Inc.",False,168
Chelsoft Solutions,Chelsoft Solutions Co.,False,169
Sondermind,SonderMind (all cities),False,170
Saia LTL Freight,20 Saia Motor Freight Line LLC,False,171
Cohere Health,Cohere Health,False,172
Ga Telesis,"GA Telesis, LLC",False,173
M9 Consulting,M9 Consulting,False,174
Am Pierce & Associates,AM Pierce and Associates,False,175
Unclassified,"Windstream Communications, Inc. Pierre, SD",False,176
Open Systems Technologies,Open Systems Technologies Corporation,True,177
Unclassified,Witriol Consulting,False,178
Otsi,OTSi,False,179
Grifols,"Grifols Shared Services North America, Inc",False,180
Allianz,Allianz Global Corporate & Specialty,False,181
GlaxoSmithKline,GSK plc.,False,182
Iurban Teen,iUrban Teen,False,183
Rosmansearch,RosmanSearch,True,184
Ampcus Tech Pvt. Ltd,Ampcus Tech Pvt Ltd,False,185
Unclassified,D'Oro Home Health,False,186
Rocket Money,Rocket Money,False,187
Unclassified,CyncHealth Advisors Inc,False,188
Lovingly,Lovingly LLC,False,189
"Harris & Harris, Ltd.",Harris & Harris,False,190
ADP,"ADP, LLC.",False,191
Smx Corporation Limited,SMX,True,192
Coforge,Coforge,False,193
Pyramid Consulting,"Pyramid Consulting, Inc.",True,194
Unclassified,BOOM PINS LLC,False,195
Net2Source,Net2Source Inc.,True,196
Yashco Systems,"Yashco Systems, Inc.",False,197
BNY Mellon,BNY Mellon,False,198
Exact Sciences,Exact Sciences,False,199
JLL,"US AMR-Jones Lang LaSalle Americas, Inc.",False,200
Texas Children's Hospital,Texas Children's Hospital,False,201
Hallmark Global Technologies,Hallmark Global Technologies Inc,False,202
Wolverine Corporation,WOLVERINE,False,203
Carroll Independent School District,Carroll Independent School District,False,204
Unclassified,"Sincera Technologies, Inc.",False,205
Qorvo,Qorvo,False,206
Tranzeal Incorporated,"Tranzeal, Inc.",False,207
U-Haul,Unknown,False,208
Hewlett Packard Enterprise,Hewlett Packard Enterprise,False,209
Bluesapphire,Blue Sapphire Inc,False,210
Weatherby Healthcare,Weatherby Healthcare,True,211
NÃ¢vitas,Navitas,False,212
Coyne & Associates Education Corp.,Coyne & Associates Education Corp,False,213
JBS Usa,JBS USA Food Company,False,214
Logical Paradigm,"Logical Paradigm, LLC,",False,215
Butler America,Butler America Aerospace L.L.C.,True,216
Diamond Graphics,Diamond Graphics LLC,False,217
Ready 4 Work,Ready 4 Work,False,218
Avis Budget Group,Avis Budget Group,False,219
Mitratech Holdings,MITRATECH HOLDINGS INC,False,220
Rishabh Software,Rishabh Software Pvt. Ltd,False,221
"Parker Management,",Parker Management,False,222
LPL Financial,LPL Financial,False,223
VaaridaTech,VaaridaTech,False,224
Nutrien,Nutrien Ag Solutions Limited,False,225
DWF,DWF,False,226
Salt River Project,Salt River Project,False,227
Intellibridge,IntelliBridge,False,228
Morton Salt,"Morton Salt, Inc",False,229
ADM,Archer Daniels Midland Company,False,230
Kirkland & Ellis,Kirkland and Ellis,False,231
Sun Recycling,"Sun Recycling, Inc.",False,232
State Of Texas,TEXAS DEPARTMENT OF FAMILY AND PROTECTIVE SERVICES,False,233
Unclassified,Kirra Services,False,234
Stryker,Stryker,False,235
Telos Corporation,Telos Corp.,False,236
Maryland-National Capital Park And Planning Commission,Maryland-National Capital Park and Planning Commission,False,237
Ask It Solutions Ltd,ASK IT Solutions LLC,False,238
Vantage West Credit Union,Vantage West Credit Union,False,239
Staffmark,Staffmark Group,True,240
Unclassified,CIVILIAN COMPLAINT REVIEW BD,False,241
BlackRock,BlackRock Inc,False,242
ITW,ITW,False,243
Clark County Nv,"Clark County, NV",False,244
Bausch Health,Bausch Health Companies Inc.,False,245
Unclassified,Skilled Nursing Operator,False,246
Lil' Drug Store Products,Lil&#39; Drug Store Products,False,247
Tailored Management,Tailored Management,True,248
Anoka County,Anoka County,False,249
Christopher Newport University,Christopher Newport University,False,250
Impact Advisors,Impact Advisors,False,251
Unclassified,MNA-HP,False,252
Verano Holdings,Verano Holdings Corp.,False,253
Unclassified,Pennsylvania - Remote,False,254
Peoplemark,Peoplemark,True,255
Unclassified,Middle GA State University,False,256
Unclassified,Kath Parker,False,257
UF Health,UF Health,False,258
Extended Stay America,Extended Stay America,False,259
Unclassified,"Enlyte Group, LLC.",False,260
Integrated Trucking Solution,Integrated Trucking Solution,False,261
"Galderma Laboratories, L.P.",Galderma Laboratories,False,262
Ufp Construction,"UFP Construction, LLC",False,263
Unclassified,Acs Internacional S De Rl De Cv,False,264
Tubi,Tubi,False,265
Prime Team Partners,Prime Team Partners,True,266
Carnegie Infotech,"Carnegie Infotech, Inc.",False,267
Prudential Financial,Prudential,False,268
Intelletec,Intelletec,True,269
Arrayo,Arrayo,False,270
SNI Companies,Staffing Now,True,271
Insight Global,(Not Available),True,272
Unclassified,InTulsa Initiative LLC,False,273
The Aerospace Corporation,Unknown,False,274
Soundway LTD.,SoundWay,False,275
Bluehawk,"Bluehawk, LLC",False,276
Job Juncture,Job Juncture,True,277
L3Harris Technologies,L3Harris Technologies,False,278
Northwest Bank,NORTHWEST BANK,False,279
Patriot Talent Solutions,Patriot Talent Solutions,True,280
Outfront Media,OUTFRONT Media,False,281
Level 3 Communications,Level 3 Communications,False,282
Allied National,"Allied National, LLC",False,283
Redstone Federal Credit Union,Redstone Federal Credit Union,False,284
Unclassified,sdna global,False,285
S&P Global,S&P Global,False,286
Cardinal Health,Cardinal Health,False,287
Nigel Frank,Nigel Frank International,True,288
Next-Gen-It,Next Gen IT Inc,False,289
State of Arizona,State of Arizona,False,290
Windstar Cruises,Windstar Cruises,False,291
Sierra Business Solution,Sierra Business Solution LLC,False,292
NANA Regional Corporation,Akima,False,293
Zealtech,"ZealTech, Inc.",False,294
Vaynermedia,VaynerMedia LLC,False,295
Nationwide,Nationwide,False,296
DuPont,Dupont,False,297
Unclassified,WPPplc,False,298
Tyler Pipe,Tyler Pipe,False,299
Systemdomain,"SystemDomain, Inc.",False,300
Mission Support And Test Services,"Mission Support and Test Services, LLC",False,301
Openteq Ltd,OpenTeQ Inc,False,302
Compulink,CompuLink,False,303
"Twin City Fan Companies, Ltd.","TWIN CITY FAN COMPANIES, LTD",False,304
BD,BD,False,305
MUFG Bank,"MUFG Bank, Ltd.",False,306
Bitsight,BitSight,False,307
Entrepreneurship For All (Eforall),Entrepreneurship for All,False,308
Solera,"Solera, Inc.",False,309
University of Colorado,University of Colorado at Boulder,False,310
Schlage Lock Company,Schlage Lock Company LLC,False,311
Northwest Arkansas Health And Wellness,Arkansas Health & Wellness,False,312
C&S Wholesale Grocers,"C&S Wholesale Grocers, Inc.",False,313
Heartland Bank,Heartland Bank,False,314
Visioneering,"Visioneering, Inc.",False,315
Andersen Windows,Renewal by Andersen,False,316
Rite Software Solns & SVCS,Rite Software,False,317
Council Of The Inspectors General On Integrity And Efficiency,Council of thea Inspectors General on Integrity and Efficiency,False,318
Unclassified,Figure Markets,False,319
Methodist Le Bonheur Healthcare,Methodist Le Bonheur Healthcare,False,320
Evry India,EVRY India,False,321
Columbus State Community College,Columbus State Community College,False,322
Hr Link Group,"HR Link Group, Inc",False,323
Avionica USA,Avionica,False,324
Staff Solvers,Staff Solvers,False,325
Tekfortune,Tekfortune Inc,False,326
Two95 International,Two95 International Inc.,True,327
Unclassified,Nucor Business Technology,False,328
Unclassified,Orange,False,329
Juniper Networks,Juniper Networks,False,330
Kaba Ilco Corp,Kaba Ilco,False,331
The Cloudburst Group,The Cloudburst Group,False,332
Love's,Love's Travel Stops & Country Stores,False,333
Unclassified,Thinklimo,False,334
Renotek Group,Renotek Group,False,335
Nvish Solutions,"NVISH Solutions, Inc",False,336
The Hollister Group,"The Hollister Group, Inc.",False,337
Vectorsoft.Com,Vectorsoft,False,338
Odom Corporation,The Odom Corporation,False,339
Collin County Committee On Aging (Meals On Wheels),Meals on Wheels Collin County,False,340
Unclassified,PMI WW Brands LLC,False,341
Vistar,VISTAR,False,342
Great Life Church,Great Life Church,False,343
Unclassified,Ofc of the City Administrator,False,344
Prodege,"Prodege, LLC",False,345
Powder River Industries,POWDER RIVER INDUSTRIES LLC,False,346
Infoage Solutions Ltd,InfoAge Solutions (IAS),False,347
Stratg,StratG Inc,False,348
Unclassified,Deed Collector,False,349
Dynanet Corporation,Dynanet Corporation,False,350
Momentive Performance Materials Quartz,"Momentive Performance Materials Quartz, Inc.",False,351
Axis,Axis,False,352
University Of St. Francis,University of St. Francis,False,353
Unclassified,Certinia,False,354
Woodmont Real Estate Services,Woodmont Real Estate Services,False,355
Emtak,EMTAK LLC,False,356
Mary Washington Healthcare,100 Mary Washington Healthcare,False,357
Green Dot Public Schools,Green Dot Public Schools,False,358
Unclassified,TYM North America Inc,False,359
Lumbee Holdings,"Lumbee Holdings, Inc",False,360
Astir IT Solutions,Astir IT Solutions,False,361
Amercareroyal,"AMERCAREROYAL, LLC",False,362
Educational Testing Service,ETS LLC,False,363
Los Angeles Football Club (Lafc),Los Angeles Football Club,False,364
Federal Prison Industries,Smithsonian Astrophysical Observatory,False,365
Catalpa Health,Catalpa Health,False,366
Lone Wolf Technologies,lone-wolf-technologies,False,367
Unclassified,Unio Health Partners,False,368
Saf-Holland,"Saf-Holland, Inc.",False,369
Bn'Y,BNY,False,370
Odyssey Systems Consulting Group,"Odyssey Systems Consulting Group, Ltd.",False,371
American University,American University,False,372
Global Force,Global Force USA,True,373
Nexzentek,NexZenTek,False,374
Clearway Solutions,Clearway Solutions,False,375
Kollasoft.,Kollasoft Inc,False,376
Generis Tek,Generis Tek Inc,False,377
Russell Stover Chocolates,"Russell Stover Chocolates, LLC",False,378
Lafayette Economic Development Authority,Lafayette Economic Development Authority,False,379
Progressive,Progressive Insurance,False,380
Prudent Technologies And Consulting,Prudent Technologies and Consulting,False,381
Nationwide,A01 Nationwide Mutual Insurance Co.,False,382
First American Financial,"CoreLogic Solutions, LLC",False,383
The Emmes Corporation,"The Emmes Company, LLC",False,384
Amount,Amount,False,385
City Of Arlington,"City of Arlington, TX",False,386
Dynpro,DynPro,True,387
Wellspan Health,WellSpan Health,False,388
Concordia University Irvine,Concordia University Irvine,False,389
Child & Family Service,Child & Family Service,False,390
Vertex Computer Systems,Vertex Computer Systems,False,391
Us Enhanced,US Enhanced,False,392
Msa Agency,MSA,False,393
Axiom Global Technologies,Axiom Global Technologies,False,394
Camelot Integrated Solutions,Camelot Integrated Solutions Inc.,False,395
Secretariat Advisors,Secretariat Advisors LLC,False,396
Hormel,Hormel Foods,False,397
Quaker Chemical Corporation,Quaker Chemical Corporation,False,398
Icat Logistics,"ICAT Logistics, Inc.",False,399
Sigma Computing,Sigma Computing Inc,False,400
Ttg Forestry Services,TTG Forestry Services LLC,False,401
Unclassified,NESC Technical Institute,False,402
Stride Funding,Stride Funding,False,403
Alps Business Development Firm,Business Development Firm,False,404
Gonzaga University,Gonzaga University,False,405
Taxtips,"Tax Tips, Inc.",False,406
Autism House,Autism House,False,407
Power Design,"Power Design, Inc.",False,408
Broadway Bank,Broadway Bank,False,409
Unclassified,SELECCIN Consulting,False,410
Enshire,Enshire Inc,False,411
Russell Investments,Russell Investments,False,412
Sutter Shared Lab,Sutter Shared Lab LLC,False,413
Equitable,Equitable,False,414
American Systems Corporation,AMERICAN SYSTEMS,False,415
Alis Software,Alis Software Llc,False,416
Syeta Glanton,Syeta Inc,False,417
Fors Marsh Group,Fors Marsh Group,False,418
Endeavors,Endeavors,False,419
Joulestowatts Business Solutions Private Limited,JOULESTOWATTS BUSINESS SOLUTIONS PRIVATE LIMITED,False,420
Unclassified,The Metropolitan Water District of Southern Califo,False,421
IKEA,Unknown,False,422
Unclassified,06F Federal Reserve Bank of Atlanta,False,423
Azzur Group,Azzur Group,False,424
Mid-Atlantic Permanente Medical Group Pc,Mid-Atlantic Permanente Medical Group,False,425
Bahama Consulting,BAHAMA Consulting Corporation,False,426
Red Bull,Red Bull GmbH,False,427
FTR Staffing LLC,Ftr,True,428
Unclassified,Walker Healthforce,False,429
Gulfstream Aerospace,Gulfstream,False,430
Live Nation,Live Nation,False,431
Kaizen Approach,Kaizen Approach,False,432
Unclassified,Rack Room/Off Broadway Shoes,False,433
Modern Health,Modern Health,False,434
Holisto,Holisto LTD,False,435
Abacus Business Computer,Abacus Business Computer,False,436
Chicken Salad Chick,Chicken Salad Chick,False,437
Americor,Americor,False,438
Veritiv,Veritiv Corporation,False,439
Center For Alternative Sentencing & Employment Services,"Center for Alternative Sentencing and Employment Services, Inc.",False,440
Target,Target Corporation,False,441
Lee College,Lee College,False,442
Highbrow,Highbrow LLC,False,443
Unclassified,CoreTek Labs,False,444
Disney,The Walt Disney Company (Germany) GmbH,False,445
Mainline Information Systems,Mainline Information Systems,False,446
Trade Harbor Global (uk) LTD,"Harbor Global, LLC",False,447
Benefit Service Center,"Benefit Service Center, Inc.",False,448
Society For College And University Planning,Society for College and University Planning,False,449
Sentara Health Systems,Sentara Health,False,450
Virginia Commonwealth University,Virginia Commonwealth University,False,451
Transdev,"Transdev U.S., Inc.",False,452
Bluecross Blueshield of South Carolina,BlueCross BlueShield Of South Carolina,False,453
Cpchem,CPChem,False,454
Bug Tussel Wireless,Bug Tussel Wireless,False,455
College Raptor,College Raptor,False,456
Smart Synergies,Smart Synergies,False,457
Strata Decision Technology,Strata Decision Technology,False,458
Unclassified,Small Arc Inc,False,459
CalPortland,Calportland,False,460
Del Grande Dealer Group,Del Grande Dealer Group,False,461
Technamo,Technamo LLC,False,462
Fastly,Fastly,False,463
Millsaps College,Millsaps College,False,464
Allstate,Allstate Insurance,False,465
KAnand,KAnand Corporation,False,466
Kk Associates,KK Associates,False,467
Rose's Agency,Rose International Inc.,True,468
First Horizon Bank,First Horizon Bank,False,469
Technostrides,Technostrides,False,470
Amiseq,Amiseq Inc.,False,471
Softheon,Softheon,False,472
Unclassified,Airitos,False,473
Synkriom,Synkriom,True,474
Dataone Software,DataOne Software,False,475
Nivid Infotech,Nivid InfoTech Inc.,False,476
Children's Health,Children's Health,False,477
E Business Corp,e Business International Inc.,False,478
Ryan Companies United States Incorporated,"Ryan Companies US, Inc.",False,479
Beyond Technologies,Beyond Technologies,False,480
Sunray Enterprise,SunRay Enterprise Inc,False,481
Businessolver,Businessolver,False,482
Delta State University,Delta State University,False,483
Cirrus Aircraft,Cirrus Aircraft,False,484
Lead Public Schools,LEAD Public Schools,False,485
Live Healthy Md,Healthy MD,False,486
Nordstrom Card Services,Nordstrom Card Services Inc,False,487
Toa USA,TOA,False,488
The Midtown Group,The Midtown Group,True,489
Houston Independent School District,Houston Independent School District,False,490
Lansing Board Of Water & Light,Lansing Board of Water & Light,False,491
Granicus,Granicus,False,492
Gnrsystems,GNRSystems,False,493
Thermo Fisher Scientific,Confidential,False,494
Karved,Karved LLC,False,495
Sigma Software,Sigma Software LLC.,False,496
Harbor Wholesale Foods,Harbor Wholesale Foods,False,497
Envisn,ENVISN INCORPORATED,False,498
Vesco Oil Corp,Vesco Oil Corporation,False,499
Unclassified,ADPMN IT SOLUTIONS,False,500
Carver County,"Carver County, MN",False,501
Sira Consulting,Sira Consulting,False,502
Kitsap Mental Health Services,Kitsap Mental Health Services,False,503
Labur,LABUR,True,504
Camp Galileo Summer Quest Pasadena,Camp Galileo,False,505
Metropolitan Police Department,Metropolitan Police Department,False,506
Sf Police Credit Union,The Police Credit Union of California,False,507
Nitya Software Solutions,"NITYA Software Solutions, Inc.",False,508
Itac Sa/Ag,ITAC,False,509
Unclassified,HMM America Shipping Agency Inc.,False,510
Valtech,Valtech,False,511
Getaround,Getaround,False,512
Kimura Foundry America,Kimura Foundry America,False,513
Unclassified,"All Flex Solutions, Inc",False,514
Yorktel,Yorktel,False,515
The University of Kansas Health System,The University of Kansas Health System,False,516
Datassential,Datassential,False,517
Westmoreland Community Action,WESTMORELAND COMMUNITY ACTION,False,518
Advansoft International,"Advansoft International, Inc.",False,519
Unclassified,"RWE Supply & Trading Americas, LLC,Â Â Chicago, Austin",False,520
Logan Aluminum,Logan Aluminum Inc,False,521
Tts Technologies,TTS Technologies,False,522
Pharmeng Technology,PharmEng Technology,False,523
Unclassified,1201 Northwest Community Hospital,False,524
Kitsap Transit,Kitsap Transit,False,525
Pure Corporate Solutions Limited,"Pure Solutions, LLC",False,526
Unclassified,STARR Insurance Companies,False,527
Plug Power,Plug Power Inc.,False,528
Essent Guaranty,"Essent Guaranty, Inc.",False,529
Lutron Electronics,"Lutron Electronics Co., Inc.",False,530
Brunswick,Brunswick Corporation,False,531
Mcr,"MCR, LLC",False,532
City Of Salem,"City of Salem, Oregon",False,533
Erp Initiatives Group,ERP Initiatives Group Inc.,False,534
Unclassified,Diocese of Fall River-Catholic Schools Alliance,False,535
EXOS,EXOS,False,536
Jazz Pharmaceuticals,Jazz Pharmaceuticals,False,537
PageGroup,Michael Page,True,538
North Carolina Department Of Information Technology,North Carolina Department of Information Technology,False,539
Airgas,"US11344-AIRGAS Airgas Safety, Inc.",False,540
Unclassified,Finger Lakes Performing Providers System,False,541
Ok Foods,Bachoco OK Foods,False,542
Heise Online,Heise Online,False,543
CGI,"CGI Group, Inc.",False,544
AppleOne,AppleOne,True,545
Securigence,SecuriGence LLC,False,546
Aversan,Aversan Inc.,False,547
Unclassified,Evoke Research And Cons,False,548
Seminole Hard Rock Support Services,Seminole Hard Rock Support Services,False,549
Patriot Group International,Patriot Group International,False,550
Tricentis,Tricentis,False,551
C5mi Insight,C5MI Insight LLC,False,552
Arkema,Arkema,False,553
Dotsolved Systems,"DotSolved Systems, Inc.",False,554
JPMorgan Chase,JPMorgan Chase,False,555
Sephora,SEPHORA,False,556
Montachusett Regional Transit Authority,Montachusett Regional Transit Authority,False,557
Syntricate Technologies,Syntricate Technologies,False,558
California Department Of Public Health,California Department of Public Health,False,559
Bitsoft S.A.S.,"Bitsoft International, Inc.",False,560
Montrose Environmental Group,"Montrose Environmental Group, Inc.",False,561
Nana Corp Limited,Nana,False,562
Unclassified,Pyromis,False,563
Stryker Employment Company,"Stryker Employment Company, LLC",False,564
Talascend,Talascend LLC,True,565
Georgetown University,Georgetown University,False,566
The University of Texas System,The University of Texas at Austin,False,567
"Staid Logic, L.L.C.",STAID LOGIC,False,568
Dew Softech,Dew Softech Inc,False,569
Ingram Micro,"Ingram Micro, Inc.",False,570
NextEra Energy,NextEra,False,571
IQVIA,IQVIA Inc,False,572
Unclassified,00104 Equinix LLC,False,573
Workday,Root,False,574
Unclassified,ARB Interactive,False,575
Pella Corporation,Pella Corporation,False,576
Employher,employHER,False,577
Jac Construction Services,JAC Construction Services LLC,False,578
Computershare,Computershare Limited,False,579
Workday,Adaptive Insights,False,580
Dollar Tree,Dollar Tree,False,581
Lorvin Technologies,Lorvin Technologies,False,582
System Edge USA,System Edge (USA) L.L.C.,False,583
Tharanco Group,Tharanco Group,False,584
West Monroe Partners,West Monroe Partners,False,585
Johnson Service Group,"Johnson Service Group, Inc",True,586
Serco,Serco,False,587
Bureau Veritas,Bureau Veritas,False,588
Barasch Mcgarry,Barasch & McGarry,False,589
BankPlus,BankPlus,False,590
Vsion Technologies,Vsion Technologies Inc,False,591
Imcs Group,"iMCS Group, Inc.",False,592
Axient,Axient,False,593
Hr Path,HR Path,True,594
Unclassified,Stellite Works LLC,False,595
Unclassified,confidential,False,596
Cadre5,Cadre5,False,597
NTT DATA,NTT DATA INC,False,598
Vizient,Vizient,False,599
Dtcc,DTCC,False,600
Ark Ell Springs,"Leggett & Platt, Incorporated",False,601
Unclassified,Marshall Health Network,False,602
Brennan Center For Justice,Brennan Center for Justice,False,603
National General,National General,False,604
Pavane Solutions,Pavane Solutions Inc,False,605
Intuitive,Intuitive Surgical,False,606
Infosend,InfoSend Inc,False,607
Herman Miller,"MillerKnoll, Inc.",False,608
Tata Consultancy Services,Tata Consultancy Services Limited,False,609
EAB,"EAB Global, Inc.",False,610
Highland Community College,Highland Community College,False,611
Axos Clearing,Axos Clearing LLC,False,612
Vortex Consulting,"Vortex Consulting, Inc",False,613
